top - 15:16:29 up  4:55,  1 user,  load average: 1.35, 1.30, 1.18
Tasks: 312 total,   2 running, 310 sleeping,   0 stopped,   0 zombie
%Cpu(s): 77.1 us, 18.6 sy,  0.0 ni,  4.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15882.5 total,   4284.5 free,   4082.5 used,   7515.5 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  10664.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.39 kworker+
    223 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    224 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    225 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    322 root      20   0       0      0      0 S   0.0   0.0   0:01.68 jbd2/sd+
    323 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    369 root      19  -1   69168  34236  32596 S   0.0   0.2   0:01.85 systemd+
    399 root      20   0   25252   7848   4068 S   0.0   0.0   0:01.24 systemd+
    518 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    528 root     -51   0       0      0      0 S   0.0   0.0   0:27.07 irq/128+
    684 systemd+  20   0   24948  13264   9036 S   0.0   0.1   0:02.16 systemd+
    685 systemd+  20   0   90912   5944   5160 S   0.0   0.0   0:00.13 systemd+
    731 root      20   0  241892   9280   8236 S   0.0   0.1   0:00.39 account+
    732 root      20   0    2548    704    636 S   0.0   0.0   0:01.34 acpid
    735 avahi     20   0    8844   3932   3408 S   0.0   0.0   0:02.18 avahi-d+
    736 root      20   0    9104   5420   4516 S   0.0   0.0   0:03.00 bluetoo+
    740 root      20   0    9424   2988   2724 S   0.0   0.0   0:00.02 cron
    742 message+  20   0   10116   6728   3812 S   0.0   0.0   0:15.80 dbus-da+
    744 root      20   0  617780  22704  18224 S   0.0   0.1   0:10.58 Network+
    751 root      20   0   81892   3736   3408 S   0.0   0.0   0:00.93 irqbala+
    752 root      20   0   39688  20600  11904 S   0.0   0.1   0:00.14 network+
    756 root      20   0  238800  12508   8296 S   0.0   0.1   0:03.21 polkitd
